Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw
468,MET,"MetLife, Inc.",Financial Services,Insurance - Life,61666680832.0,37.63,D,7.16,18.08,4.85,8.7,6.0,64,,8.885975,2.2552757,0.77667797,14.103,-0.339794506162663,0.13094,0.00451,0.055180002,0.04567,0.0392132376339955,3.0,Yearly,0.105,0.058,1.79933,-20953999360.0,15557999616.0,0.49206349206349204,0.90625,0.984375,0.35135135135135137,0.025,0.42857142857142855,0.046875,0.015625,0.03125,OK,,179.933,2.7,3.0,3.0,1.5,1.5
469,WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Entertainment,69698396160.0,37.54,D,6.96,17.69,4.65,2.7,12.5,19,,397.14285,2.123272,1.9299015,12.776,0.2319619351195125,-0.08786,0.01708,0.05105,-0.08769,0.0331793709721504,3.0,Yearly,-0.112,-0.906,0.94199,16167374848.0,3423000064.0,0.5789473684210527,0.05,0.5,0.5,1.0,0.10526315789473684,0.1,0.1,0.05,OK,,94.199,2.7,0.0,0.0,5.0,1.5
470,NI,NiSource Inc,Utilities,Utilities - Regulated Gas,19460548608.0,35.07,D,6.76,14.68,9.19,3.7,7.5,27,,18.010342,2.0322516,2.8279514,12.939,-0.0911073974179299,0.085489996,0.032420002,0.17156,0.13153,0.0432070511015429,3.0,Yearly,0.046,-0.584,1.46649,-1772999936.0,2303200000.0,0.5161290322580645,0.1935483870967742,0.4838709677419355,0.5483870967741935,0.3548387096774194,0.0967741935483871,0.7096774193548387,0.22580645161290322,0.41935483870967744,OK,,146.649,2.7,0.0,1.0,3.0,1.5
471,CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research,13274270720.0,34.85,D,6.56,12.35,8.14,3.86,10.5,58,,21.875574,4.6735916,3.3194084,19.038,0.0353206597853686,-0.07516,0.04107,0.15113,-0.05963,0.0032857552523495,3.0,Yearly,-0.027,,1.05047,468856000.0,582147968.0,0.4,0.288135593220339,0.43333333333333335,0.3050847457627119,0.38333333333333336,0.09090909090909091,0.3,0.4,0.08333333333333333,OK,,105.047,2.7,0.0,0.0,3.0,1.5
472,WMB,"Williams Companies, Inc. (The)",Energy,Oil & Gas Midstream,88129224704.0,34.78,D,6.36,2.37,17.21,10.7,4.5,19,,27.743656,6.6985874,7.1516047,17.195,-0.0172105219022896,0.21503,0.05032,0.39540002,0.24937001,0.0290893642817418,3.0,Yearly,0.078,0.512,2.00371,-1516749952.0,5993999872.0,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.6842105263157895,0.2631578947368421,0.7368421052631579,0.8421052631578947,OK,,200.371,2.7,6.0,2.0,0.0,1.5
473,WAT,Waters Corporation,Healthcare,Diagnostics & Research,41398104064.0,33.9,D,6.16,8.07,5.75,9.57,10.5,59,,25.48123,2.7255392,8.913772,31.929,-0.0034317424725627,0.019199999,0.03558,0.09422,0.03588,0.0212299126818125,3.0,Yearly,1.134,,0.36045,-142067632.0,549555008.0,0.6181818181818182,0.13559322033898305,0.1,0.05084745762711865,0.016666666666666666,0.16363636363636364,0.18333333333333332,0.23333333333333334,0.3,OK,,36.045,2.7,0.0,4.0,6.0,1.5
474,LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,17010373632.0,33.6,D,5.96,9.84,14.06,3.7,6.0,28,,17.799925,2.2592812,3.8406804,15.912,-0.0669370966583598,0.11135,0.02448,0.19053,0.18447,0.0122937458567551,3.0,Yearly,0.01,-0.04,1.60951,-1138625024.0,1158000000.0,0.2903225806451613,0.22580645161290322,0.16129032258064516,0.0967741935483871,0.6451612903225806,0.7096774193548387,0.16129032258064516,0.3548387096774194,0.8387096774193549,OK,,160.951,2.7,0.0,1.0,1.5,1.5
475,DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,26743478272.0,33.18,D,5.77,14.03,9.65,5.0,4.5,29,,15.364715,2.2012882,1.6242622,15.081,-0.0970937613122158,0.1103,0.02769,0.13623999,0.07999,-0.0630799339817085,3.0,Yearly,-0.015,0.224,2.2906,-2596624896.0,3359000064.0,0.3225806451612903,0.6774193548387096,0.8709677419354839,0.12903225806451613,0.2903225806451613,0.6774193548387096,0.25806451612903225,0.0967741935483871,0.0967741935483871,OK,,229.06,0.0,5.0,0.0,0.0,1.5
476,AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,36374867968.0,33.02,D,5.57,3.17,4.35,13.0,12.5,70,,42.345898,9.898968,11.2997055,227.326,0.0061075135776558,0.06221,0.00509,0.0517,0.06191,0.327872639391876,3.0,Yearly,0.353,-0.182,0.50363,222160000.0,265808992.0,0.2537313432835821,0.028169014084507043,0.014084507042253521,0.014285714285714285,0.04225352112676056,0.058823529411764705,0.028169014084507043,0.07042253521126761,0.2676056338028169,OK,,50.363,9.0,0.0,4.0,5.0,1.5
477,INTC,Intel Corporation,Technology,Semiconductors,574070980608.0,32.72,D,5.37,9.54,3.96,5.71,13.5,79,,52.66527,6.256121,10.06577,34.691,0.0084769572620549,-0.10715,0.0141199995,0.12189999,-0.19794,-0.0571288797823601,3.0,Yearly,0.254,,0.48997,4866375168.0,14936000512.0,0.581081081081081,0.05128205128205128,0.2911392405063291,0.19230769230769232,0.1518987341772152,0.02666666666666667,0.06329113924050633,0.16455696202531644,0.02531645569620253,OK,,48.997,0.0,0.0,4.0,6.0,1.5
